"TOA5","CR200 Series","CR200X","27356","CR200X.Std.04","Sxxxx V1_10 NPHK_P2.CR2","16450","NPHK_PUNT2_T1_1"
"TIMESTAMP","RECORD","VWC_1_Avg","EC_1_Avg","Temp_1_Avg","VWC_2_Avg","EC_2_Avg","Temp_2_Avg","VWC_3_Avg","EC_3_Avg","Temp_3_Avg","VWC_4_Avg","EC_4_Avg","Temp_4_Avg","Druk_Avg(1)","Druk_Avg(2)","Battery_Vdc"
"TS","RN","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"2017-11-15 22:00:00",0,"NAN",0,0,"NAN",0,0,"NAN",0,0,"NAN",0,0,"NAN",0,12.87195
"2017-11-15 21:00:00",1,0,5E-05,19.3098,"NAN",0,0,"NAN",0,0,"NAN",0,0,"NAN",0,12.88623
"2017-11-15 22:00:00",2,0,-0.0002,19.5409,"NAN",0,0,"NAN",0,0,"NAN",0,0,"NAN",0,12.88539
"2017-11-15 23:00:00",3,0,-5E-05,19.3604,"NAN",0,0,"NAN",0,0,"NAN",0,0,"NAN",0,12.88203
"2017-11-17 10:00:00",4,"NAN",0,0,0.3745,0.0124,7.6637,0.1826,0.0018,8.3384,0.2658,0.0069,8.58385,"NAN",0,13.54015
"2017-11-17 11:00:00",5,"NAN",0,0,0.3745,0.01235,7.65345,0.1826,0.00155,8.3486,0.26545,0.00685,8.589649,"NAN",0,13.51077
"2017-11-17 12:00:00",6,"NAN",0,0,0.3745,0.0123,7.67985,0.1826,0.0015,8.2933,0.2658,0.00695,8.6027,"NAN",0,13.54267
"2017-11-17 13:00:00",7,"NAN",0,0,0.3745,0.0123,7.73845,0.1826,0.00165,8.233601,0.2658,0.00685,8.6056,"NAN",0,13.52924
"2017-11-17 14:00:00",8,"NAN",0,0,0.3745,0.0122,7.81605,0.1826,0.0017,8.29765,0.2658,0.00675,8.5795,"NAN",0,13.58967
"2017-11-17 15:00:00",9,"NAN",0,0,0.3745,0.01215,7.88045,0.18295,0.0015,8.255449,0.2658,0.0067,8.6201,"NAN",0,13.6753
"2017-11-17 16:00:00",10,"NAN",0,0,0.3745,0.01215,7.955,0.1833,0.00155,8.28455,0.2658,0.00685,8.594,"NAN",0,13.2774
"2017-11-17 17:00:00",11,"NAN",0,0,0.3745,0.01215,8.0193,0.1833,0.0016,8.2511,0.2661,0.00705,8.565001,"NAN",0,13.23375
"2017-11-17 18:00:00",12,"NAN",0,0,0.3745,0.01205,8.0061,0.1833,0.00145,8.2409,0.2664,0.0068,8.5882,"NAN",0,13.20941
"2017-11-17 19:00:00",13,"NAN",0,0,0.3745,0.0119,7.99005,0.1833,0.0015,8.2656,0.2664,0.00695,8.60415,"NAN",0,13.1985
"2017-11-17 20:00:00",14,"NAN",0,0,0.3745,0.012,7.9126,0.1833,0.0017,8.24815,0.2664,0.007,8.62155,"NAN",0,13.19178
"2017-11-17 21:00:00",15,"NAN",0,0,0.3745,0.01205,7.84245,0.1833,0.00165,8.25255,0.2664,0.0068,8.62155,"NAN",0,13.18591
"2017-11-17 22:00:00",16,"NAN",0,0,0.3745,0.0119,7.73555,0.1833,0.00155,8.29185,0.2664,0.0067,8.60705,"NAN",0,13.18255
"2017-11-17 23:00:00",17,"NAN",0,0,0.3745,0.0118,7.6256,0.1833,0.00155,8.252501,0.2664,0.00685,8.631701,"NAN",0,13.16996
"2017-11-18 00:00:00",18,"NAN",0,0,0.3751,0.0117,7.52135,0.1833,0.00145,8.26565,0.2664,0.00695,8.6143,"NAN",0,13.16576
"2017-11-18 01:00:00",19,"NAN",0,0,0.3751,0.01185,7.41405,0.18335,0.00145,8.245251,0.2664,0.00685,8.6317,"NAN",0,13.16324
"2017-11-18 02:00:00",20,"NAN",0,0,0.3751,0.0116,7.3228,0.1833,0.00155,8.21325,0.2664,0.00695,8.63315,"NAN",0,13.15569
"2017-11-18 03:00:00",21,"NAN",0,0,0.3751,0.01165,7.1813,0.1833,0.0016,8.19575,0.2664,0.00685,8.6201,"NAN",0,13.15401
"2017-11-18 04:00:00",22,"NAN",0,0,0.3751,0.0116,7.07205,0.18335,0.00135,8.17535,0.2664,0.0068,8.615749,"NAN",0,13.16156
"2017-11-18 05:00:00",23,"NAN",0,0,0.3756,0.01175,6.9375,0.1833,0.00135,8.136,0.2664,0.00675,8.61285,"NAN",0,13.14813
"2017-11-18 06:00:00",24,"NAN",0,0,0.3756,0.01145,6.78785,0.18335,0.0014,8.09515,0.2664,0.007,8.598351,"NAN",0,13.1582
"2017-11-18 07:00:00",25,"NAN",0,0,0.3756,0.01125,6.71515,0.1833,0.00145,8.0324,0.2664,0.00705,8.60995,"NAN",0,13.15317
"2017-11-18 08:00:00",26,"NAN",0,0,0.3756,0.0112,6.5993,0.1833,0.00145,8.01195,0.2664,0.0067,8.5969,"NAN",0,13.68201
"2017-11-18 09:00:00",27,"NAN",0,0,0.3756,0.01125,6.52345,0.1833,0.0016,7.98565,0.2664,0.0069,8.583851,"NAN",0,13.98673
"2017-11-18 10:00:00",28,"NAN",0,0,0.3762,0.0113,6.45495,0.1833,0.0015,7.8848,0.2671,0.00665,8.5737,"NAN",0,13.95147
