"TOA5","CR200 Series","CR200X","27357","CR200X.Std.04","Sxxxx V1_10 NPHK_P3.CR2","60612","NPHK_PUNT3_T2_2"
"TIMESTAMP","RECORD","Perm_1_Avg","Period_1_Avg","VR_1_Avg","Perm_2_Avg","Period_2_Avg","VR_2_Avg","Perm_3_Avg","Period_3_Avg","VR_3_Avg","Perm_4_Avg","Period_4_Avg","VR_4_Avg"
"TS","RN","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2017-11-17 14:00:00",0,5.78435,1.3032,1.0027,4.5367,1.24955,1.001,3.6249,1.223,1.00045,4.10615,1.2614,1.0007
"2017-11-17 15:00:00",1,5.7842,1.3032,1.00275,4.54895,1.2501,1.0011,3.62415,1.223,1.00055,4.1075,1.2614,1.0005
"2017-11-17 16:00:00",2,5.7837,1.3032,1.0028,4.54985,1.2501,1.00095,3.6242,1.223,1.0005,4.10815,1.2614,1.00035
"2017-11-17 17:00:00",3,5.78385,1.3032,1.0028,4.54945,1.2501,1.00105,3.62525,1.223,1.00035,4.10645,1.2614,1.00065
"2017-11-17 18:00:00",4,5.7843,1.3032,1.0027,4.53855,1.24955,1.0007,3.62415,1.223,1.00055,4.106,1.2614,1.00075
"2017-11-17 19:00:00",5,5.7859,1.3032,1.0024,4.52375,1.249,1.001,3.62585,1.223,1.0003,4.10865,1.2614,1.00025
"2017-11-17 20:00:00",6,5.7834,1.3032,1.0029,4.5258,1.249,1.0007,3.62545,1.223,1.00035,4.1053,1.2614,1.00085
"2017-11-17 21:00:00",7,5.78545,1.3032,1.0025,4.5249,1.249,1.00085,3.6262,1.223,1.0002,4.1078,1.2614,1.0004
"2017-11-17 22:00:00",8,5.78385,1.3032,1.0028,4.52285,1.249,1.00115,3.62565,1.223,1.00035,4.10485,1.2614,1.00095
"2017-11-17 23:00:00",9,5.7851,1.3032,1.00255,4.53615,1.24955,1.0011,3.62305,1.223,1.0007,4.10715,1.2614,1.00055
"2017-11-18 00:00:00",10,5.7865,1.3032,1.0023,4.52415,1.249,1.00095,3.62455,1.223,1.0005,4.1063,1.2614,1.00065
"2017-11-18 01:00:00",11,5.7838,1.3032,1.0028,4.5234,1.249,1.00105,3.62545,1.223,1.00035,4.10665,1.2614,1.00065
"2017-11-18 02:00:00",12,5.7849,1.3032,1.0026,4.52525,1.249,1.0008,3.62455,1.223,1.00045,4.1068,1.2614,1.0006
"2017-11-18 03:00:00",13,5.7854,1.3032,1.0025,4.52325,1.249,1.0011,3.6245,1.223,1.0005,4.108,1.2614,1.0004
"2017-11-18 04:00:00",14,5.7841,1.3032,1.00275,4.52325,1.249,1.0011,3.6253,1.223,1.00035,4.10815,1.2614,1.00035
"2017-11-18 05:00:00",15,5.7846,1.3032,1.0027,4.5243,1.249,1.0009,3.6141,1.2224,1.0002,4.108,1.2614,1.0004
"2017-11-18 06:00:00",16,5.77175,1.30265,1.00245,4.52325,1.249,1.0011,3.59965,1.2218,1.00055,4.10565,1.2614,1.0008
"2017-11-18 07:00:00",17,5.7572,1.3021,1.00255,4.5254,1.249,1.00075,3.6002,1.2218,1.0005,4.10615,1.2614,1.0007
"2017-11-18 08:00:00",18,5.7567,1.3021,1.0026,4.52465,1.249,1.00085,3.6011,1.2218,1.00035,4.10645,1.2614,1.00065
"2017-11-18 09:00:00",19,5.7431,1.30155,1.00255,4.5236,1.249,1.00105,3.6006,1.2218,1.00045,4.10615,1.2614,1.0007
"2017-11-18 10:00:00",20,5.72825,1.301,1.00265,4.5234,1.249,1.00105,3.6,1.2218,1.00055,4.1082,1.2614,1.00035
"2017-11-18 11:00:00",21,5.7287,1.301,1.00255,4.51035,1.2484,1.0011,3.6028,1.2218,1.00015,4.107,1.2614,1.0006
"2017-11-18 12:00:00",22,5.7286,1.301,1.0026,4.5114,1.2484,1.0009,3.60205,1.2218,1.00025,4.1048,1.2614,1.0009
"2017-11-18 13:00:00",23,5.72855,1.301,1.0026,4.4992,1.2478,1.0008,3.6,1.2218,1.00055,4.10565,1.2614,1.0008
"2017-11-18 14:00:00",24,5.7276,1.301,1.0028,4.4996,1.2478,1.00075,3.6,1.2218,1.00055,4.107,1.2614,1.0006
"2017-11-18 15:00:00",25,5.72765,1.301,1.00275,4.4976,1.2478,1.00105,3.5996,1.2218,1.0006,4.10665,1.2614,1.00065
"2017-11-18 16:00:00",26,5.7276,1.301,1.0028,4.49835,1.2478,1.0009,3.60165,1.2218,1.0003,4.10565,1.2614,1.0008
"2017-11-18 17:00:00",27,5.7278,1.301,1.00275,4.4971,1.2478,1.00115,3.60185,1.2218,1.00025,4.10615,1.2614,1.0007
"2017-11-18 18:00:00",28,5.7276,1.301,1.0028,4.4958,1.2478,1.00135,3.6002,1.2218,1.0005,4.1046,1.2614,1.00095
"2017-11-18 19:00:00",29,5.7291,1.301,1.0025,4.4981,1.2478,1.001,3.60095,1.2218,1.0004,4.1058,1.2614,1.00075
"2017-11-18 20:00:00",30,5.7278,1.301,1.00275,4.4967,1.2478,1.0012,3.6015,1.2218,1.00035,4.10615,1.2614,1.0007
"2017-11-18 21:00:00",31,5.71425,1.3004,1.00265,4.49865,1.2478,1.0009,3.6,1.2218,1.00055,4.10645,1.2614,1.00065
"2017-11-18 22:00:00",32,5.70035,1.2998,1.00265,4.49725,1.2478,1.00115,3.60245,1.2218,1.00015,4.10715,1.2614,1.0005
"2017-11-18 23:00:00",33,5.72875,1.301,1.00255,4.49775,1.2478,1.00105,3.6015,1.2218,1.0003,4.1056,1.2614,1.0008
"2017-11-19 00:00:00",34,5.72795,1.301,1.00275,4.498,1.2478,1.001,3.6013,1.2218,1.00035,4.1053,1.2614,1.00085
"2017-11-19 01:00:00",35,5.7281,1.301,1.00265,4.5118,1.2484,1.00085,3.60075,1.2218,1.0004,4.1077,1.2614,1.0005
"2017-11-19 02:00:00",36,5.77085,1.30265,1.0026,4.52255,1.249,1.0012,3.60145,1.2218,1.0003,4.10815,1.2614,1.0004
"2017-11-19 03:00:00",37,5.78495,1.3032,1.0026,4.5227,1.249,1.0012,3.5998,1.2218,1.0006,4.1063,1.2614,1.0007
"2017-11-19 04:00:00",38,5.7702,1.30265,1.0027,4.5236,1.249,1.00105,3.60095,1.2218,1.0004,4.10635,1.2614,1.0007
"2017-11-19 05:00:00",39,5.78465,1.3032,1.00265,4.5498,1.2501,1.001,3.6,1.2218,1.0005,4.107,1.2614,1.00055
"2017-11-19 06:00:00",40,5.78285,1.3032,1.003,4.54805,1.2501,1.00125,3.6002,1.2218,1.00055,4.1061,1.2614,1.0007
"2017-11-19 07:00:00",41,5.78465,1.3032,1.00265,4.5619,1.25065,1.00115,3.60055,1.2218,1.00045,4.10685,1.2614,1.0006
"2017-11-19 08:00:00",42,5.80015,1.30375,1.0024,4.5745,1.2512,1.00115,3.5998,1.2218,1.00055,4.1058,1.2614,1.00075
"2017-11-19 09:00:00",43,5.8132,1.3043,1.0026,4.57325,1.2512,1.00135,3.6,1.2218,1.0005,4.1053,1.2614,1.00085
"2017-11-19 10:00:00",44,5.81415,1.3043,1.00245,4.57595,1.2512,1.00095,3.6015,1.2218,1.0003,4.1058,1.2614,1.00075
"2017-11-19 11:00:00",45,5.8132,1.3043,1.0026,4.57445,1.2512,1.0012,3.6,1.2218,1.00055,4.10685,1.2614,1.0006
"2017-11-19 12:00:00",46,5.81245,1.3043,1.00275,4.57395,1.2512,1.00125,3.60225,1.2218,1.0002,4.10615,1.2614,1.0007
"2017-11-19 13:00:00",47,5.81255,1.3043,1.0027,4.57465,1.2512,1.00115,3.6,1.2218,1.00055,4.10615,1.2614,1.00075
"2017-11-19 14:00:00",48,5.81305,1.3043,1.00265,4.58745,1.2518,1.0012,3.60225,1.2218,1.0002,4.10695,1.2614,1.00055
"2017-11-19 15:00:00",49,5.81245,1.3043,1.00275,4.59835,1.2524,1.0015,3.60095,1.2218,1.0004,4.10715,1.2614,1.00055
"2017-11-19 16:00:00",50,5.8126,1.3043,1.0027,4.6008,1.2524,1.00115,3.60055,1.2218,1.00045,4.107,1.2614,1.0006
"2017-11-19 17:00:00",51,5.81275,1.3043,1.00265,4.6001,1.2524,1.0012,3.60055,1.2218,1.00045,4.109,1.2614,1.00025
"2017-11-19 18:00:00",52,5.8126,1.3043,1.0027,4.60045,1.2524,1.0012,3.6004,1.2218,1.0005,4.1051,1.2614,1.0009
"2017-11-19 19:00:00",53,5.8124,1.3043,1.00275,4.6008,1.2524,1.00115,3.6002,1.2218,1.00055,4.10715,1.2614,1.00055
"2017-11-19 20:00:00",54,5.81355,1.3043,1.00255,4.59975,1.2524,1.00125,3.60205,1.2218,1.0002,4.10715,1.2614,1.0005
"2017-11-19 21:00:00",55,5.81175,1.3043,1.00285,4.60175,1.2524,1.00095,3.5996,1.2218,1.0006,4.10545,1.2614,1.00085
"2017-11-19 22:00:00",56,5.8121,1.3043,1.0028,4.5761,1.2512,1.0009,3.59925,1.2218,1.00065,4.1063,1.2614,1.0007
"2017-11-19 23:00:00",57,5.8121,1.3043,1.00285,4.57535,1.2512,1.00105,3.60115,1.2218,1.0004,4.10665,1.2614,1.00065
"2017-11-20 00:00:00",58,5.8129,1.3043,1.0027,4.5759,1.2512,1.00095,3.6015,1.2218,1.00035,4.1053,1.2614,1.00085
"2017-11-20 01:00:00",59,5.814,1.3043,1.0025,4.57485,1.2512,1.0011,3.6015,1.2218,1.00035,4.1073,1.2614,1.0005
"2017-11-20 02:00:00",60,5.8132,1.3043,1.0026,4.5736,1.2512,1.0013,3.60055,1.2218,1.00045,4.1075,1.2614,1.00045
"2017-11-20 03:00:00",61,5.8124,1.3043,1.00275,4.575,1.2512,1.0011,3.5998,1.2218,1.00055,4.10515,1.2614,1.0009
"2017-11-20 04:00:00",62,5.8124,1.3043,1.00275,4.5745,1.2512,1.00115,3.6024,1.2218,1.00015,4.107,1.2614,1.0006
"2017-11-20 05:00:00",63,5.81335,1.3043,1.00255,4.5743,1.2512,1.0012,3.60095,1.2218,1.0004,4.1058,1.2614,1.0008
"2017-11-20 06:00:00",64,5.8121,1.3043,1.00285,4.57395,1.2512,1.00125,3.6026,1.2218,1.00015,4.10715,1.2614,1.00055
