"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","ZB_P1_T2"
"TIMESTAMP","RECORD","Perm_1_Avg","Period_1_Avg","VR_1_Avg","Perm_2_Avg","Period_2_Avg","VR_2_Avg","Perm_3_Avg","Period_3_Avg","VR_3_Avg"
"TS","RN","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-12-19 14:00:00",0,1.362,0.046,0.019,1.286,0.045,0.019,0.618,0.036,0.018
"2018-12-19 15:00:00",1,77.61,2.609,1.086,73.33,2.561,1.062,35.22,2.05,1.032
"2018-12-19 16:00:00",2,77.61,2.609,1.086,73.32,2.561,1.062,35.22,2.05,1.032
"2018-12-19 17:00:00",3,77.61,2.609,1.086,73.33,2.561,1.062,35.22,2.05,1.032
"2018-12-19 18:00:00",4,77.6,2.609,1.085,73.33,2.561,1.063,35.22,2.05,1.032
"2018-12-19 19:00:00",5,77.61,2.609,1.085,73.33,2.561,1.062,35.22,2.05,1.032
"2018-12-19 20:00:00",6,77.61,2.609,1.085,73.33,2.561,1.062,35.22,2.05,1.032
"2018-12-19 21:00:00",7,77.51,2.608,1.085,73.32,2.561,1.062,35.22,2.05,1.033
"2018-12-19 22:00:00",8,77.52,2.608,1.087,73.33,2.561,1.062,35.22,2.05,1.032
"2018-12-19 23:00:00",9,77.51,2.608,1.086,73.33,2.561,1.062,35.22,2.05,1.032
"2018-12-20 00:00:00",10,77.51,2.608,1.086,73.32,2.561,1.062,35.22,2.05,1.032
"2018-12-20 01:00:00",11,77.51,2.608,1.086,73.33,2.561,1.063,35.22,2.05,1.033
"2018-12-20 02:00:00",12,77.51,2.608,1.086,73.33,2.561,1.062,35.22,2.05,1.032
"2018-12-20 03:00:00",13,77.51,2.608,1.086,73.33,2.561,1.062,35.22,2.05,1.032
"2018-12-20 04:00:00",14,77.51,2.608,1.085,73.33,2.561,1.063,35.22,2.05,1.032
"2018-12-20 05:00:00",15,77.51,2.608,1.085,73.33,2.561,1.062,35.16,2.049,1.032
"2018-12-20 06:00:00",16,77.5,2.608,1.085,73.33,2.561,1.062,35.16,2.049,1.032
"2018-12-20 07:00:00",17,77.51,2.608,1.086,73.33,2.561,1.063,35.16,2.049,1.032
"2018-12-20 08:00:00",18,77.5,2.608,1.085,73.33,2.561,1.062,35.16,2.049,1.033
"2018-12-20 09:00:00",19,77.51,2.608,1.086,73.33,2.561,1.062,35.16,2.049,1.032
"2018-12-20 10:00:00",20,77.51,2.608,1.085,73.33,2.561,1.062,35.16,2.049,1.032
"2018-12-20 11:00:00",21,77.51,2.608,1.086,73.33,2.561,1.062,35.16,2.049,1.032
"2018-12-20 12:00:00",22,77.5,2.608,1.085,73.33,2.561,1.063,35.16,2.049,1.032
"2018-12-20 13:00:00",23,77.51,2.608,1.086,73.33,2.561,1.062,35.16,2.049,1.033
"2018-12-20 14:00:00",24,77.51,2.608,1.086,73.33,2.561,1.063,35.16,2.049,1.032
"2018-12-20 15:00:00",25,77.5,2.608,1.085,73.33,2.561,1.063,35.16,2.049,1.032
"2018-12-20 16:00:00",26,77.61,2.609,1.086,73.33,2.561,1.063,35.1,2.048,1.032
"2018-12-20 17:00:00",27,77.61,2.609,1.086,73.33,2.561,1.062,35.1,2.048,1.032
"2018-12-20 18:00:00",28,77.61,2.609,1.086,73.33,2.561,1.063,35.1,2.048,1.032
"2018-12-20 19:00:00",29,77.61,2.609,1.086,73.33,2.561,1.063,35.1,2.048,1.032
"2018-12-20 20:00:00",30,77.71,2.61,1.086,73.33,2.561,1.062,35.1,2.048,1.032
"2018-12-20 21:00:00",31,77.71,2.61,1.086,73.33,2.561,1.063,35.1,2.048,1.032
"2018-12-20 22:00:00",32,77.71,2.61,1.086,73.33,2.561,1.063,35.1,2.048,1.032
"2018-12-20 23:00:00",33,77.7,2.61,1.085,73.33,2.561,1.063,35.1,2.048,1.032
"2018-12-21 00:00:00",34,77.7,2.61,1.085,73.33,2.561,1.062,35.1,2.048,1.032
"2018-12-21 01:00:00",35,77.7,2.61,1.085,73.33,2.561,1.063,35.1,2.048,1.033
"2018-12-21 02:00:00",36,77.6,2.609,1.085,73.33,2.561,1.063,35.16,2.049,1.032
"2018-12-21 03:00:00",37,77.6,2.609,1.085,73.33,2.561,1.063,35.16,2.049,1.032
"2018-12-21 04:00:00",38,77.6,2.609,1.085,73.33,2.561,1.063,35.16,2.049,1.032
"2018-12-21 05:00:00",39,77.61,2.609,1.085,73.32,2.561,1.062,35.16,2.049,1.032
"2018-12-21 06:00:00",40,77.61,2.609,1.085,73.33,2.561,1.063,35.16,2.049,1.032
"2018-12-21 07:00:00",41,77.81,2.611,1.086,73.43,2.562,1.063,35.1,2.048,1.033
"2018-12-21 08:00:00",42,77.81,2.611,1.086,73.52,2.563,1.063,35.22,2.05,1.032
"2018-12-21 09:00:00",43,77.81,2.611,1.086,73.52,2.563,1.063,35.22,2.05,1.032
"2018-12-21 10:00:00",44,77.8,2.611,1.085,73.52,2.563,1.063,35.22,2.05,1.032
"2018-12-21 11:00:00",45,77.7,2.61,1.085,73.52,2.563,1.063,35.22,2.05,1.032
