"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","lufft_ZB"
"TIMESTAMP","RECORD","Air_Temperature_Avg","Rel_Humidity_Avg","Rel_Air_Pressure_Avg","Wind_speed_Avg_","Wind_dir_vct","Wet_bulb_Temp_Avg","Prec_type_Tot","Prec_intensity_Avg","Dew_point_Avg","Battery_Vdc","Status_total_Tot"
"TS","RN","","","","","Deg","","","","","",""
"","","Avg","Avg","Avg","WVc:","WVc:","Avg","Tot","Avg","Avg","Smp","Tot"
"2018-12-19 13:05:00",0,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0,0
"2018-12-19 13:10:00",1,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0,0
"2018-12-19 13:15:00",2,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0,0
"2018-12-19 13:20:00",3,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0,0
"2018-12-19 13:25:00",4,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0,0
"2018-12-19 13:30:00",5,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0,0
"2018-12-19 13:35:00",6,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0,0
"2018-12-19 13:40:00",7,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0,0
"2018-12-19 13:45:00",8,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0,0
"2018-12-19 13:50:00",9,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0,0
"2018-12-19 13:55:00",10,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0,0
"2018-12-19 14:00:00",11,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 14:05:00",12,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 14:10:00",13,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 14:15:00",14,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 14:20:00",15,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 14:25:00",16,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 14:30:00",17,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 14:35:00",18,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 14:40:00",19,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 14:45:00",20,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 14:50:00",21,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 14:55:00",22,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:00:00",23,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:05:00",24,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:10:00",25,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:15:00",26,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:20:00",27,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:25:00",28,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:30:00",29,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:35:00",30,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:40:00",31,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:45:00",32,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:50:00",33,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 15:55:00",34,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:00:00",35,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:05:00",36,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:10:00",37,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:15:00",38,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:20:00",39,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:25:00",40,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:30:00",41,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:35:00",42,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:40:00",43,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:45:00",44,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:50:00",45,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 16:55:00",46,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:00:00",47,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:05:00",48,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:10:00",49,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:15:00",50,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:20:00",51,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
"2018-12-19 17:25:00",52,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.48,0
