"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","ZB_P1_T1"
"TIMESTAMP","RECORD","VWC_1_Avg","EC_1_Avg","Temp_1_Avg","VWC_2_Avg","EC_2_Avg","Temp_2_Avg","VWC_3_Avg","EC_3_Avg","Temp_3_Avg","Druk_Avg(1)","Druk_Avg(2)","Battery_Vdc"
"TS","RN","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"2018-12-19 14:00:00",0,0.016,0.001,0.108,0.014,0.001,0.133,0.008,0,0.154,"NAN",0,12.48
"2018-12-19 15:00:00",1,0.911,0.069,6.178,0.826,0.05,7.576,0.481,0.026,8.79,"NAN",0,12.48
"2018-12-19 16:00:00",2,0.91,0.069,6.217,0.826,0.05,7.569,0.481,0.026,8.81,"NAN",0,12.48
"2018-12-19 17:00:00",3,0.91,0.069,6.253,0.826,0.05,7.544,0.481,0.026,8.79,"NAN",0,12.48
"2018-12-19 18:00:00",4,0.91,0.068,6.292,0.826,0.051,7.567,0.481,0.026,8.81,"NAN",0,12.47
"2018-12-19 19:00:00",5,0.91,0.068,6.341,0.826,0.05,7.57,0.481,0.026,8.81,"NAN",0,12.47
"2018-12-19 20:00:00",6,0.91,0.068,6.329,0.826,0.05,7.578,0.481,0.026,8.84,"NAN",0,12.47
"2018-12-19 21:00:00",7,0.908,0.068,6.452,0.826,0.05,7.541,0.481,0.026,8.79,"NAN",0,12.47
"2018-12-19 22:00:00",8,0.908,0.069,6.471,0.826,0.05,7.558,0.481,0.026,8.79,"NAN",0,12.46
"2018-12-19 23:00:00",9,0.908,0.068,6.518,0.826,0.05,7.582,0.481,0.026,8.78,"NAN",0,12.46
"2018-12-20 00:00:00",10,0.908,0.069,6.538,0.826,0.05,7.605,0.481,0.026,8.79,"NAN",0,12.45
"2018-12-20 01:00:00",11,0.908,0.069,6.533,0.826,0.051,7.62,0.481,0.026,8.8,"NAN",0,12.45
"2018-12-20 02:00:00",12,0.908,0.069,6.544,0.826,0.05,7.611,0.481,0.026,8.78,"NAN",0,12.45
"2018-12-20 03:00:00",13,0.908,0.068,6.526,0.826,0.05,7.588,0.481,0.026,8.77,"NAN",0,12.45
"2018-12-20 04:00:00",14,0.908,0.068,6.508,0.826,0.05,7.605,0.481,0.026,8.79,"NAN",0,12.45
"2018-12-20 05:00:00",15,0.908,0.068,6.49,0.826,0.05,7.588,0.481,0.026,8.79,"NAN",0,12.45
"2018-12-20 06:00:00",16,0.908,0.068,6.443,0.826,0.05,7.623,0.481,0.026,8.75,"NAN",0,12.45
"2018-12-20 07:00:00",17,0.908,0.069,6.416,0.826,0.051,7.64,0.481,0.026,8.78,"NAN",0,12.45
"2018-12-20 08:00:00",18,0.908,0.068,6.389,0.826,0.05,7.638,0.481,0.026,8.71,"NAN",0,12.45
"2018-12-20 09:00:00",19,0.908,0.069,6.377,0.826,0.05,7.652,0.481,0.026,8.77,"NAN",0,12.45
"2018-12-20 10:00:00",20,0.908,0.068,6.362,0.826,0.05,7.66,0.481,0.026,8.76,"NAN",0,12.45
"2018-12-20 11:00:00",21,0.908,0.068,6.322,0.826,0.05,7.637,0.481,0.026,8.75,"NAN",0,12.45
"2018-12-20 12:00:00",22,0.908,0.068,6.38,0.826,0.051,7.632,0.481,0.026,8.76,"NAN",0,12.45
"2018-12-20 13:00:00",23,0.908,0.068,6.34,0.826,0.05,7.638,0.481,0.026,8.75,"NAN",0,12.45
"2018-12-20 14:00:00",24,0.908,0.068,6.395,0.826,0.05,7.663,0.481,0.026,8.76,"NAN",0,12.45
"2018-12-20 15:00:00",25,0.908,0.068,6.387,0.826,0.051,7.623,0.481,0.026,8.76,"NAN",0,12.45
"2018-12-20 16:00:00",26,0.91,0.069,6.396,0.826,0.05,7.657,0.48,0.026,8.73,"NAN",0,12.45
"2018-12-20 17:00:00",27,0.91,0.068,6.438,0.826,0.05,7.608,0.48,0.026,8.74,"NAN",0,12.45
"2018-12-20 18:00:00",28,0.91,0.068,6.491,0.826,0.051,7.637,0.48,0.026,8.75,"NAN",0,12.45
"2018-12-20 19:00:00",29,0.911,0.068,6.527,0.826,0.051,7.644,0.48,0.026,8.74,"NAN",0,12.45
"2018-12-20 20:00:00",30,0.913,0.068,6.569,0.826,0.05,7.678,0.48,0.026,8.74,"NAN",0,12.45
"2018-12-20 21:00:00",31,0.913,0.068,6.596,0.826,0.05,7.663,0.48,0.026,8.74,"NAN",0,12.45
"2018-12-20 22:00:00",32,0.913,0.069,6.678,0.826,0.05,7.638,0.48,0.026,8.75,"NAN",0,12.45
"2018-12-20 23:00:00",33,0.913,0.068,6.687,0.826,0.05,7.661,0.48,0.026,8.73,"NAN",0,12.45
"2018-12-21 00:00:00",34,0.913,0.068,6.688,0.826,0.05,7.646,0.48,0.026,8.76,"NAN",0,12.45
"2018-12-21 01:00:00",35,0.912,0.068,6.743,0.826,0.051,7.661,0.48,0.026,8.74,"NAN",0,12.45
"2018-12-21 02:00:00",36,0.91,0.068,6.746,0.826,0.051,7.675,0.481,0.026,8.71,"NAN",0,12.45
"2018-12-21 03:00:00",37,0.91,0.068,6.756,0.826,0.051,7.678,0.481,0.026,8.74,"NAN",0,12.45
"2018-12-21 04:00:00",38,0.91,0.068,6.791,0.826,0.051,7.664,0.481,0.026,8.74,"NAN",0,12.45
"2018-12-21 05:00:00",39,0.91,0.068,6.78,0.826,0.05,7.681,0.481,0.026,8.73,"NAN",0,12.45
"2018-12-21 06:00:00",40,0.91,0.068,6.815,0.826,0.051,7.682,0.481,0.026,8.73,"NAN",0,12.45
"2018-12-21 07:00:00",41,0.915,0.069,6.823,0.828,0.051,7.702,0.48,0.026,8.73,"NAN",0,12.45
"2018-12-21 08:00:00",42,0.915,0.069,6.82,0.83,0.051,7.707,0.481,0.026,8.75,"NAN",0,12.46
"2018-12-21 09:00:00",43,0.915,0.069,6.807,0.83,0.051,7.693,0.481,0.026,8.78,"NAN",0,12.46
"2018-12-21 10:00:00",44,0.915,0.068,6.862,0.83,0.051,7.717,0.481,0.026,8.73,"NAN",0,12.46
"2018-12-21 11:00:00",45,0.913,0.068,6.845,0.83,0.051,7.722,0.481,0.026,8.71,"NAN",0,12.46
"2018-12-21 12:00:00",46,0.913,0.068,6.865,0.83,0.051,7.705,0.481,0.026,8.73,"NAN",0,12.46
"2018-12-21 13:00:00",47,0.913,0.068,6.894,0.83,0.051,7.734,0.481,0.026,8.71,"NAN",0,12.46
"2018-12-21 14:00:00",48,0.913,0.068,6.89,0.83,0.051,7.743,0.481,0.026,8.73,"NAN",0,12.46
"2018-12-21 15:00:00",49,0.913,0.068,6.939,0.83,0.051,7.758,0.481,0.026,8.73,"NAN",0,12.46
"2018-12-21 16:00:00",50,0.913,0.068,6.951,0.83,0.051,7.801,0.481,0.026,8.73,"NAN",0,12.47
"2018-12-21 17:00:00",51,0.913,0.068,6.97,0.83,0.051,7.775,0.481,0.026,8.7,"NAN",0,12.47
"2018-12-21 18:00:00",52,0.915,0.068,7.025,0.83,0.051,7.772,0.481,0.026,8.73,"NAN",0,12.47
"2018-12-21 19:00:00",53,0.915,0.068,7.046,0.83,0.051,7.764,0.481,0.026,8.72,"NAN",0,12.47
"2018-12-21 20:00:00",54,0.913,0.069,7.102,0.828,0.051,7.781,0.481,0.026,8.72,"NAN",0,12.47
"2018-12-21 21:00:00",55,0.913,0.069,7.114,0.828,0.051,7.784,0.481,0.026,8.73,"NAN",0,12.47
"2018-12-21 22:00:00",56,0.913,0.068,7.155,0.828,0.051,7.772,0.481,0.026,8.73,"NAN",0,12.47
"2018-12-21 23:00:00",57,0.913,0.069,7.179,0.828,0.051,7.772,0.48,0.026,8.72,"NAN",0,12.47
"2018-12-22 00:00:00",58,0.913,0.069,7.214,0.828,0.051,7.781,0.48,0.026,8.67,"NAN",0,12.47
"2018-12-22 01:00:00",59,0.913,0.069,7.22,0.828,0.051,7.782,0.48,0.026,8.73,"NAN",0,12.47
"2018-12-22 02:00:00",60,0.913,0.069,7.264,0.828,0.051,7.822,0.48,0.026,8.72,"NAN",0,12.47
"2018-12-22 03:00:00",61,0.913,0.07,7.29,0.828,0.05,7.81,0.48,0.026,8.72,"NAN",0,12.47
"2018-12-22 04:00:00",62,0.913,0.069,7.294,0.828,0.051,7.794,0.48,0.026,8.7,"NAN",0,12.47
"2018-12-22 05:00:00",63,0.911,0.069,7.317,0.828,0.051,7.857,0.48,0.026,8.72,"NAN",0,12.47
"2018-12-22 06:00:00",64,0.913,0.069,7.338,0.828,0.051,7.868,0.481,0.026,8.72,"NAN",0,12.47
