"TOA5","S6105","CR2xx","27362","CR200X.Std.04","S6105 ZB_P3.CR2","33751","ZB_PUNT3_T2"
"TIMESTAMP","RECORD","Perm_2_Avg","Period_2_Avg","VR_2_Avg","Perm_3_Avg","Period_3_Avg","VR_3_Avg","Perm_4_Avg","Period_4_Avg","VR_4_Avg"
"TS","RN","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-09-19 13:00:00",0,56.25132,2.330325,1.50065,66.77845,2.4685,1.2933,46.66443,2.206575,1.157275
"2018-09-19 14:00:00",1,56.18852,2.3295,1.501983,66.7773,2.4685,1.293033,46.64543,2.2063,1.1572
"2018-09-19 15:00:00",2,56.08504,2.3282,1.501467,66.77666,2.4685,1.292917,46.64611,2.2063,1.15765
"2018-09-19 16:00:00",3,55.95494,2.326467,1.50205,66.68104,2.4674,1.292833,46.64632,2.2063,1.157717
"2018-09-19 17:00:00",4,55.94315,2.326283,1.50325,66.68169,2.4674,1.292983,46.64608,2.2063,1.1576
"2018-09-19 18:00:00",5,55.99136,2.326883,1.505183,66.678,2.4674,1.29215,46.6459,2.2063,1.1575
"2018-09-19 19:00:00",6,55.96533,2.326467,1.506583,66.67985,2.4674,1.292583,46.6463,2.2063,1.15775
"2018-09-19 20:00:00",7,55.92122,2.325917,1.506433,66.6811,2.4674,1.292883,46.64623,2.2063,1.157717
"2018-09-19 21:00:00",8,55.84914,2.325,1.506817,66.68017,2.4674,1.292633,46.64618,2.2063,1.157683
"2018-09-19 22:00:00",9,55.80468,2.32445,1.506483,66.67803,2.4674,1.29215,46.64632,2.2063,1.157733
"2018-09-19 23:00:00",10,55.76045,2.3239,1.506233,66.67939,2.4674,1.292467,46.64628,2.2063,1.15775
"2018-09-20 00:00:00",11,55.74437,2.3237,1.505567,66.68155,2.4674,1.292967,46.64662,2.2063,1.157933
"2018-09-20 01:00:00",12,55.68165,2.3229,1.50355,66.6789,2.4674,1.292367,46.64633,2.2063,1.157733
"2018-09-20 02:00:00",13,55.66727,2.3227,1.50365,66.67802,2.4674,1.292167,46.64717,2.2063,1.15825
"2018-09-20 03:00:00",14,55.66331,2.3227,1.501867,66.68203,2.4674,1.293067,46.64682,2.2063,1.158033
"2018-09-20 04:00:00",15,55.66162,2.3227,1.501117,66.67853,2.4674,1.292267,46.64708,2.2063,1.1582
"2018-09-20 05:00:00",16,55.74516,2.3239,1.499517,66.68265,2.4674,1.293217,46.64718,2.2063,1.158283
"2018-09-20 06:00:00",17,55.69765,2.3233,1.49775,66.68185,2.4674,1.293017,46.64737,2.2063,1.15835
"2018-09-20 07:00:00",18,55.69543,2.3233,1.496783,66.68128,2.4674,1.2929,46.64742,2.2063,1.158417
"2018-09-20 08:00:00",19,55.73865,2.3239,1.4966,66.68169,2.4674,1.292983,46.64772,2.2063,1.158583
"2018-09-20 09:00:00",20,55.73723,2.3239,1.495983,66.6821,2.4674,1.293083,46.64791,2.2063,1.1587
"2018-09-20 10:00:00",21,55.7347,2.3239,1.494883,66.68243,2.4674,1.29315,46.6478,2.2063,1.158633
"2018-09-20 11:00:00",22,55.70385,2.3235,1.4941,66.74658,2.468133,1.293283,46.64758,2.2063,1.158517
"2018-09-20 12:00:00",23,55.66211,2.3229,1.4949,66.71458,2.467767,1.293233,46.64755,2.2063,1.158483
"2018-09-20 13:00:00",24,55.66228,2.322917,1.494967,66.68177,2.4674,1.293017,46.64745,2.2063,1.158433
"2018-09-20 14:00:00",25,55.53187,2.321233,1.49505,66.68179,2.4674,1.293033,46.64818,2.2063,1.158883
"2018-09-20 15:00:00",26,55.41664,2.3197,1.495383,66.68066,2.4674,1.292767,46.64807,2.2063,1.1588
"2018-09-20 16:00:00",27,55.21545,2.31705,1.495967,66.63223,2.46685,1.2926,46.64838,2.2063,1.159017
"2018-09-20 17:00:00",28,55.02498,2.314617,1.494683,66.58666,2.4663,1.29305,46.64875,2.2063,1.159233
"2018-09-20 18:00:00",29,55.07242,2.3152,1.496533,66.58759,2.4663,1.293267,46.64823,2.2063,1.158933
"2018-09-20 19:00:00",30,55.07645,2.315167,1.49845,66.58618,2.4663,1.292933,46.64862,2.2063,1.159133
"2018-09-20 20:00:00",31,55.03503,2.314617,1.499317,66.58553,2.4663,1.2928,46.64848,2.2063,1.159083
"2018-09-20 21:00:00",32,54.99178,2.314067,1.4993,66.58451,2.4663,1.292567,46.64822,2.2063,1.158883
"2018-09-20 22:00:00",33,54.89015,2.312783,1.498933,66.5861,2.4663,1.2929,46.64895,2.2063,1.159333
"2018-09-20 23:00:00",34,54.83042,2.312,1.497933,66.58515,2.4663,1.292717,46.6488,2.2063,1.15925
"2018-09-21 00:00:00",35,54.75512,2.311033,1.496333,66.58588,2.4663,1.29285,46.64936,2.2063,1.159583
"2018-09-21 01:00:00",36,54.6955,2.3103,1.49535,66.58688,2.4663,1.293083,46.64937,2.2063,1.159617
"2018-09-21 02:00:00",37,54.68443,2.310117,1.4969,66.55393,2.4659,1.292817,46.64927,2.2063,1.159533
"2018-09-21 03:00:00",38,54.69748,2.3103,1.4963,66.48917,2.4651,1.29255,46.64915,2.2063,1.159467
